	循環器内科	1	050050xx0200xx	狭心症，慢性虚血性心疾患　ＰＣＩ　心カテ，心カテ+血管内超音波検査あり	1162	4.39	4.26	1.81%	72.3						
	循環器内科	2	050050xx9910x0	狭心症，慢性虚血性心疾患　手術なし　心カテあり他の病院・診療所の病棟からの転院以外	984	2.50	3.04	0.30%	72.9						
	循環器内科	3	050070xx01x0xx	頻脈性不整脈　経皮的カテーテル心筋焼灼術	962	4.70	4.65	0.31%	66.0						
	循環器内科	4	050050xx9920x0	狭心症，慢性虚血性心疾患　手術なし　心カテ+血管内超音波検査あり他の病院・診療所の病棟からの転院以外	428	2.68	3.22	0.47%	72.7						
	循環器内科	5	050210xx97000x	徐脈性不整脈　ペースメーカー移植術あり心カテ，心臓電気生理学的検査あり	389	10.58	9.89	9.51%	79.2						

	心臓血管外科	1	050080xx0101xx	弁膜症（連合弁膜症を含む。）　弁置換術等　中心静脈注射等あり	159	21.31	21.78	5.66%	67.1						
	心臓血管外科	2	050050xx0101xx	狭心症，慢性虚血性心疾患　冠動脈，大動脈バイパス移植術等　中心静脈注射等あり	51	22.22	21.24	17.65%	70.0
	心臓血管外科	3	050161xx97x1xx	解離性大動脈瘤　大動脈瘤切除等　中心静脈注射等あり	51	26.57	28.45	47.06%	74.0			
	心臓血管外科	4	050163xx03x1xx	非破裂性大動脈瘤，腸骨動脈瘤　ステントグラフト内挿術等　中心静脈注射等あり	42	15.55	15.26	7.14%	77.9					
	心臓血管外科	5	050163xx01x1xx	非破裂性大動脈瘤，腸骨動脈瘤　大動脈瘤切除術（吻合又は移植を含む。）等　中心静脈注射等あり	37	21.65	28.13	18.92%	72.3		
				
	血管外科		1	050180xx02xxxx	静脈・リンパ管疾患　下肢静脈瘤手術等		61	3.57	2.66	0.00%	67.4						
	血管外科		2	050163xx02x1xx	非破裂性大動脈瘤，腸骨動脈瘤　大動脈瘤切除術（吻合又は移植を含む。）等　中心静脈注射等あり　	25	19.32	19.15	12.00%	73.7						
	血管外科		3	050163xx97x0xx	非破裂性大動脈瘤，腸骨動脈瘤　内腸骨動脈塞栓術等	22	6.14	7.12	4.55%	75.8						
	血管外科		4	050163xx03x1xx	非破裂性大動脈瘤，腸骨動脈瘤　ステントグラフト内挿術　中心静脈注射等あり　	21	11.24	15.26	0.00%	73.3					
	血管外科		5	050163xx03x0xx	非破裂性大動脈瘤，腸骨動脈瘤　ステントグラフト内挿術　	14	13.07	10.62	0.00%	78.2							

	脳神経外科	1	010030xx9910xx	未破裂脳動脈瘤　手術なし　動脈造影カテーテル法あり	314	3.03	2.95	0.00%	60.7						
	脳神経外科	2	010030xx03x0xx	未破裂脳動脈瘤　脳血管内手術等　　	92	7.27	9.06	0.00%	60.9						
	脳神経外科	3	010060x2990401	脳梗塞（脳卒中発症3日目以内，かつ，JCS10未満）　手術なし　エダラボンあり　発症前Rankin Scale 0，1又は2	79	12.58	15.97	39.24%	68.7					
	脳神経外科	4	010070xx9912xx	脳血管障害　手術なし　動脈造影カテーテル法あり　ＳＰＥＣＴ等あり　	74	3.22	4.89	0.00%	65.9						
	脳神経外科	5	010060x2990201	脳梗塞（脳卒中発症3日目以内、かつ、JCS10未満）　手術なし脳血管疾患等リハビリテーション料あり　発症前Rankin Scale 0、1又は2	62	12.87	16.01	33.87%	73.6
	
	脳神経内科	1	010110xxxxx4xx	免疫介在性・炎症性ニューロパチー　ガンマグロブリンあり	32	10.66	16.50	12.50%	55.6						
	脳神経内科	2	010040x099000x 	非外傷性頭蓋内血腫（非外傷性硬膜下血腫以外）（JCS10未満）手術なし　	17	13.18	19.58	58.82%	66.4						
	脳神経内科	3	010060x2990401	脳梗塞（脳卒中発症3日目以内，かつ，JCS10未満）　手術なしエダラボンあり　発症前Rankin Scale 0，1又は2 		15	11.40	15.97	26.67%	69.5					
	脳神経内科	4	010130xx99x4xx 	重症筋無力症　手術なし　ガンマグロブリンあり　	11	9.18	15.62	0.00%	62.7			
	脳神経内科	5	010090xxxxx4xx	多発性硬化症　ナタリズマブあり	-	-	14.96	-	-						
	
	外科	1	060335xx02000x 	胆嚢炎等　腹腔鏡下胆嚢摘出術等あり	95	7.58	6.93	1.05%	66.5						
	外科	2	060160x001xxxx	鼠径ヘルニア（15歳以上）　腹腔鏡下鼡径ヘルニア手術等あり	93	7.28	4.59	2.15%	73.6						
	外科	3	060035xx010x0x	結腸（虫垂を含む。）の悪性腫瘍　腹腔鏡下結腸悪性腫瘍手術等あり　	45	16.16	15.40	2.22%	73.8						
	外科	4	060035xx99x7xx 	結腸（虫垂を含む。）の悪性腫瘍　手術なし　化学療法あり		44	3.45	4.79	0.00%	68.5						
	外科	5	060020xx02xxxx	胃の悪性腫瘍　腹腔鏡下胃切除j術　悪性腫瘍手術等あり　	37	24.89	18.05	2.70%	73.4						

	呼吸器外科	1	040040xx97x00x	肺の悪性腫瘍　胸腔鏡下肺悪性腫瘍手術等あり	109	10.56	10.06	2.75%	73.7						
	呼吸器外科	2	040040xx9909xx	肺の悪性腫瘍　手術なし　化学療法あり		17	6.65	10.18	0.00%	70.7						
	呼吸器外科	3	040040xx9900xx	肺の悪性腫瘍　手術なし	10	8.60	13.49	20.00%	72.7						
	呼吸器外科	4	040200xx01x00x	気胸　胸腔鏡下肺切除術あり　	-	-	9.68	-	-						
	呼吸器外科	5	040040xx97x10x	肺の悪性腫瘍　胸腔鏡下肺悪性腫瘍手術等あり　中心静脈注射等あり　	-	-	18.37	-	-						

	消化器内科	1	060340xx03x00x	胆管（肝内外）結石、胆管炎　内視鏡的乳頭切開術等あり　	184	9.16	8.94	5.98%	76.7						
	消化器内科	2	060100xx01xxxx	小腸大腸の良性疾患（良性腫瘍を含む。）内視鏡的大腸ポリープ・粘膜切除術	125	3.39	2.64	0.80%	72.3						
	消化器内科	3	06007xxx9908xx	膵臓、脾臓の腫瘍　手術なし　イリノテカン塩酸塩　リポソーム製剤あり	53	4.11	5.46	0.00%	73.8						
	消化器内科	4	060140xx97x0xx	胃十二指腸潰瘍、胃憩室症、幽門狭窄（穿孔を伴わないもの）内視鏡止血術等あり	41	11.32	10.88	14.63%	74.7						
	消化器内科	5	060020xx04xxxx	胃の悪性腫瘍　内視鏡的胃，十二指腸ポリープ・粘膜切除術		39	11.03	7.76	0.00%	74.4						

	腎臓内科		1	110280xx02x00x	慢性腎炎症候群・慢性間質性腎炎・慢性腎不全　内シャント造設術等	157	12.14	7.59	10.19%	72.9						
	腎臓内科		2	110280xx9900xx	慢性腎炎症候群・慢性間質性腎炎・慢性腎不全　手術なし	93	7.14	11.77	11.83%	60.9						
	腎臓内科		3	110280xx991xxx 	慢性腎炎症候群・慢性間質性腎炎・慢性腎不全　手術なし経皮的腎生検法	79	4.87	6.45	0.00%	53.3							
	腎臓内科		4	110280xx01x20x 	慢性腎炎症候群・慢性間質性腎炎・慢性腎不全　連続携行式腹膜灌流用カテーテル腹腔内留置術　腹膜灌流　連続携行式腹膜灌流あり	62	31.92	25.42	8.06%	68.1			
	腎臓内科		5	110280xx9901xx 	慢性腎炎症候群・慢性間質性腎炎・慢性腎不全　手術なし人工腎臓（その他の場合）あり	50	11.46	13.82	12.00%	74.2
						
	泌尿器科	1	110080xx991xxx	前立腺の悪性腫瘍　手術なし　前立腺針生検法あり	167	2.17	2.45	0.00%	71.8						
