	循環器内科	1	K5493	経皮的冠動脈ステント留置術　その他のもの	1203	2.60	3.17	2.33%	71.18						
	循環器内科	2	K5951	経皮的カテーテル心筋焼灼術　心房中隔穿刺又は心外膜アプローチを伴うもの	636	1.66	4.24	0.31%	63.77						
	循環器内科	3	K616	四肢の血管拡張術・血栓除去術	422	2.22	5.44	5.92%	72.97						
	心臓血管外科	1	K552-22	冠動脈、大動脈バイパス移植術（人工心肺を使用しないもの）　２吻合以上のもの			126	4.45	24.25	15.87%	69.05						
	心臓血管外科	2	K5551	弁置換術　１弁のもの	107	5.13	20.45	13.08%	73.65						
	心臓血管外科	3	K5602	大動脈瘤切除術（吻合又は移植を含む。）　弓部大動脈	74	3.80	28.32	22.97%	68.30						
	血管外科	1	K617-2	大伏在静脈抜去術	67	1.00	1.67	0.00%	65.04						
	血管外科	2	K617-4	下肢静脈瘤血管内焼灼術	63	0.41	1.00	0.00%	65.32						
	血管外科	3	K5612	ステントグラフト内挿術（腹部大動脈）	44	3.32	9.39	4.55%	78.20						
	脳神経外科	1	K164-2	慢性硬膜下血腫穿孔洗浄術	72	1.10	6.24	11.11%	77.56						
	脳神経外科	2	K1783	脳血管内手術　脳血管内ステントを用いるもの	52	2.83	11.94	11.54%	64.35						
	脳神経外科	3	K1781	脳血管内手術　１箇所	42	1.67	22.69	28.57%	57.71						
	外科	1	K672-2	腹腔鏡下胆嚢摘出術	102	1.80	5.75	1.96%	63.73						
	外科	2	K719-3	腹腔鏡下結腸悪性腫瘍切除術	48	5.98	15.08	10.42%	72.31						
	外科	3	K6335	ヘルニア手術　鼠径ヘルニア	41	2.12	5.76	0.00%	72.59						
	消化器内科	1	K6871	内視鏡的乳頭切開術　乳頭括約筋切開のみのもの	91	2.30	9.12	5.49%	70.42						
	消化器内科	2	K7211	大腸ポリープ粘膜切除術　長径２?未満	76	1.37	3.04	0.00%	72.53						
	消化器内科	3	K722	小腸結腸内視鏡的止血術	61	2.10	8.52	6.56%	73.38						
	腎臓内科	1	K610-3	内シャント設置術	167	7.11	12.56	19.16%	70.04						
	腎臓内科	2	K635-3	連続携行式腹膜灌流用カテーテル腹腔内留置術	84	5.83	17.02	9.52%	65.82						
	腎臓内科	3	K6146	血管移植術、バイパス移植術（その他の動脈）	29	6.41	15.86	24.14%	71.31						
	泌尿器科	1	K8036ｲ	膀胱悪性腫瘍手術　経尿道的手術　電解質溶液利用のもの	57	1.70	6.70	0.00%	74.32						
	泌尿器科	2	K8036ﾛ	膀胱悪性腫瘍手術　経尿道的手術　その他のもの	35	2.31	9.09	0.00%	73.29						
	泌尿器科	3	K783-2	経尿道的尿管ステント留置術	25	1.52	8.88	4.00%	73.64						
	耳鼻咽喉科・頭頸部外科	1	K319	鼓室形成手術	34	1.47	8.18	0.00%	50.24						
	耳鼻咽喉科・頭頸部外科	2	K3772	口蓋扁桃手術　摘出	34	1.03	6.12	0.00%	34.44						
	耳鼻咽喉科・頭頸部外科	3	K3932	喉頭腫瘍摘出術　直達鏡によるもの	25	3.48	2.32	0.00%	67.48						
	婦人科	1	K877	腹式単純子宮全摘術	90	1.17	7.37	0.00%	49.23						
	婦人科	2	K867	子宮頸部（腟部）切除術	35	1.00	2.29	0.00%	45.06						
	婦人科	3	K8721	子宮筋腫摘出（核出）術　腹式	31	1.00	7.42	0.00%	38.39						
	眼科	1	K2821ﾛ	水晶体再建術　眼内レンズを挿入する場合　その他のもの	303	1.03	4.45	0.66%	72.64						
	眼科	2	K2801	硝子体茎顕微鏡下離断術　網膜付着組織を含むもの	239	1.55	8.84	0.00%	67.37						
	眼科	3	K2683	緑内障手術　濾過手術	47	1.04	8.77	2.13%	71.06						
	整形外科	1	K0461	骨折観血的手術（肩甲骨、上腕、大腿）	34	5.38	23.12	88.24%	80.68						
	整形外科	2	K0811	人工骨頭挿入術（肩、股）	22	7.00	25.14	90.91%	78.86						
	整形外科	3	K0821	人工関節置換術（肩、股、膝）	17	3.65	20.18	76.47%	73.94						
	血液内科	1	K9212ﾛ	造血幹細胞採取（末梢血幹細胞採取）（自家移植）	15	28.87	11.40	0.00%	61.60						
	血液内科	2													
	血液内科	3													
